source,created_at_local,pick_up_latitude,pick_up_longitude,drop_off_latitude,drop_off_longitude,city,fare,pick_up_distance,state
IOS,2013-09-20 8:11:49,14.57216,121.02972,14.60769,121.0786,Metro Manila,233.75,0.481283,COMPLETED
VNU,2013-12-15 21:04:36,14.549732,121.02677,14.676041,121.0437,Metro Manila,404.375,0.057063,COMPLETED
IOS,2013-09-24 8:36:49,14.5974,121.02243,14.57825,121.05752,Metro Manila,203.125,1.6725,COMPLETED
ADR,2013-09-24 23:19:04,14.652117,121.068297,14.642479000000002,121.039349,Metro Manila,264.375,1.64267,CANCELLED
ADR,2013-09-09 8:51:19,14.632334,121.06008100000001,14.627760999999998,121.034516,Metro Manila,181.25,2.10127,COMPLETED
IOS,2013-10-05 17:11:04,14.578339999999999,121.03293000000001,14.589839999999999,121.06055,Metro Manila,220.625,0.76908,COMPLETED
IOS,2013-10-01 16:16:15,14.589620000000002,121.06795,14.581470000000001,121.06437,Metro Manila,168.125,3.14623,COMPLETED
ADR,2013-09-10 11:55:09,14.588853,120.9967,14.560801999999999,121.01641299999999,Metro Manila,220.625,1.66257,COMPLETED
IOS,2013-10-07 17:32:46,14.589479999999998,121.06376999999999,14.623879999999998,121.06175,Metro Manila,211.875,1.83117,CANCELLED
IOS,2013-09-10 7:08:37,14.572000000000001,121.03078000000001,14.558079999999999,121.02225,Metro Manila,176.875,1.7078900000000001,COMPLETED
IOS,2013-09-06 18:12:04,14.6135,121.03399999999999,14.63454,121.03568999999999,Metro Manila,172.5,1.20775,COMPLETED
IOS,2013-10-04 16:16:42,14.61326,121.06033000000001,14.651810000000001,120.96583999999999,Metro Manila,347.5,0.626356,COMPLETED
ADR,2013-09-15 13:49:13,14.672876,121.05941899999999,14.681922,121.04211000000001,Metro Manila,181.25,2.10017,COMPLETED
IOS,2013-09-04 16:11:30,14.56195,120.99358000000001,14.5301,121.05384,Metro Manila,334.375,0.8067380000000001,COMPLETED
ADR,2013-10-27 15:39:15,14.593057,121.038674,14.519561999999999,121.013791,Metro Manila,325.625,1.67347,COMPLETED
IOS,2013-09-09 10:24:59,14.55251,120.99497,14.582020000000002,120.98288000000001,Metro Manila,229.375,1.86801,COMPLETED
IOS,2013-09-17 8:15:36,14.5322,121.0208,14.55282,121.02107,Metro Manila,198.75,3.09321,COMPLETED
ADR,2013-11-30 10:39:12,14.572161999999999,121.029725,14.640625,121.07650500000001,Metro Manila,321.25,0.303037,COMPLETED
IOS,2013-09-16 7:26:36,14.606589999999999,120.99333,14.55574,121.02238999999999,Metro Manila,264.375,0.69063,COMPLETED
ADR,2013-09-18 22:13:56,14.616125,121.039244,14.637492000000002,121.00089799999999,Metro Manila,238.125,0.995822,COMPLETED
IOS,2013-09-28 18:23:07,14.6159,121.09513000000001,14.62045,121.05322,Metro Manila,255.625,1.7849,COMPLETED
VNU,2013-12-10 15:30:43,14.549732,121.02677,14.554729,121.024445,Metro Manila,150.625,0.0690563,COMPLETED
IOS,2013-09-05 8:14:17,14.587520000000001,121.089,14.58725,121.06476,Metro Manila,207.5,1.0245600000000001,COMPLETED
IOS,2013-10-18 15:13:59,14.57838,120.988,14.55056,121.01507,Metro Manila,220.625,0.168549,COMPLETED
IOS,2013-10-02 20:46:53,14.540999999999999,121.02799999999999,14.583879999999999,121.05693000000001,Metro Manila,233.75,1.97373,COMPLETED
ADR,2013-09-03 23:10:14,14.550645999999999,121.026614,14.606622,120.97958,Metro Manila,316.875,0.0318716,CANCELLED
ADR,2013-09-27 23:14:06,14.577805,121.062899,14.561157999999999,121.022669,Metro Manila,238.125,1.7454900000000002,COMPLETED
ADR,2013-09-16 23:49:20,14.586454000000002,121.04887099999999,14.621172,121.06294399999999,Metro Manila,238.125,0.40177199999999996,COMPLETED
VNU,2013-11-22 20:57:38,14.549732,121.02677,14.537751,121.001379,Metro Manila,185.625,1.42012,COMPLETED
ADR,2013-09-03 21:57:29,14.540922,121.01864199999999,14.654422,121.034945,Metro Manila,369.375,1.88936,COMPLETED
IOS,2013-12-24 17:07:34,14.6535,121.03348999999999,14.63848,121.07348,Metro Manila,242.5,0.22015,COMPLETED
ADR,2013-09-24 15:07:28,14.554716,121.01445700000001,14.426363,121.00923300000001,Metro Manila,443.75,0.43311000000000005,COMPLETED
ADR,2013-09-05 9:37:34,14.576061,121.05051599999999,14.556417999999999,121.017758,Metro Manila,238.125,0.57685,COMPLETED
IOS,2013-12-19 9:54:04,14.589720000000002,121.06154,14.583979999999999,121.06323,Metro Manila,150.625,0.354453,CANCELLED
ADR,2013-09-01 6:12:21,14.688088,121.04856000000001,14.610045999999999,120.98915600000001,Metro Manila,338.75,0.9760790000000001,COMPLETED
IOS,2013-10-04 17:12:02,14.55321,121.05063,14.580689999999999,121.05537,Metro Manila,225.0,2.40892,COMPLETED
IOS,2013-10-24 7:34:38,14.54251,121.04706000000002,14.55001,121.04597,Metro Manila,155.0,1.34056,CANCELLED
IOS,2013-12-28 21:35:09,14.572970000000002,121.07715,14.54894,121.04692,Metro Manila,203.125,0.804426,COMPLETED
ADR,2013-09-05 8:23:22,14.6025,121.02666699999999,14.552473,121.018728,Metro Manila,246.875,2.6791099999999997,COMPLETED
ADR,2013-09-28 4:33:21,14.554928,121.04427700000001,14.558791000000001,121.00328600000002,Metro Manila,229.375,1.8103200000000002,CANCELLED
IOS,2013-09-17 7:19:01,14.574570000000001,121.00453999999999,14.571720000000001,121.04983999999999,Metro Manila,295.0,0.975929,COMPLETED
IOS,2013-09-16 4:37:54,14.5625,121.03066000000001,14.587470000000001,121.06115,Metro Manila,225.0,3.9624599999999996,COMPLETED
ADR,2013-09-23 7:20:51,14.625231,121.05021399999998,14.554073,121.048377,Metro Manila,290.625,0.48330200000000006,CANCELLED
IOS,2013-10-05 19:05:22,14.665120000000002,121.08081000000001,14.551839999999999,121.02193999999999,Metro Manila,395.625,1.42963,CANCELLED
IOS,2013-09-03 6:06:41,14.670020000000001,121.04605,14.555420000000002,121.01563,Metro Manila,404.375,1.30728,COMPLETED
ADR,2013-09-10 22:17:45,14.5867,121.05977,14.549547,121.056075,Metro Manila,229.375,0.554729,COMPLETED
VNU,2013-11-05 18:35:06,14.549732,121.02677,14.554729,121.024445,Metro Manila,150.625,0.332815,COMPLETED
IOS,2013-09-27 7:13:22,14.63821,121.12268999999999,14.5509,121.05358000000001,Metro Manila,316.875,4.22748,COMPLETED
VNU,2013-10-25 14:04:00,14.549732,121.02677,14.554729,121.024445,Metro Manila,155.0,0.646215,COMPLETED
IOS,2013-12-06 22:42:31,14.545860000000001,121.05375,14.52875,121.05791,Metro Manila,168.125,1.2140799999999998,CANCELLED
ADR,2013-09-03 23:03:49,14.583865,121.057123,14.681536999999999,121.079228,Metro Manila,360.625,2.41149,COMPLETED
IOS,2013-08-28 9:23:51,14.5608,121.01641000000001,14.649410000000001,121.10108000000001,Metro Manila,386.875,0.9914139999999999,COMPLETED
ADR,2013-09-27 7:06:25,14.557645,121.010783,14.545862,121.05375500000001,Metro Manila,211.875,0.632192,COMPLETED
IOS,2013-09-29 13:24:17,14.598820000000002,121.09775,14.55287,121.0517,Metro Manila,268.75,0.705635,COMPLETED
ADR,2013-09-23 9:35:56,14.572161999999999,121.029725,14.579559,121.045382,Metro Manila,168.125,1.23462,COMPLETED
IOS,2013-10-08 12:05:32,14.616729999999999,121.02722,14.601970000000001,121.04966999999999,Metro Manila,194.375,0.8251930000000001,COMPLETED
IOS,2013-08-30 11:31:58,14.56785,121.02311,14.881479999999998,120.86712,Metro Manila,811.25,0.087465,COMPLETED
ADR,2013-09-20 21:31:54,14.561372,121.02852299999999,14.551694,121.021796,Metro Manila,159.375,0.11476300000000002,COMPLETED
ADR,2013-09-30 10:09:03,14.582951999999999,121.105695,14.535058,120.98213200000001,Metro Manila,347.5,3.3874400000000002,COMPLETED
ADR,2013-09-27 22:21:38,14.580619,121.05526,14.553167000000002,121.025722,Metro Manila,220.625,0.17798,COMPLETED
ADR,2013-10-01 21:04:25,14.621725,121.080359,14.556656,121.024395,Metro Manila,321.25,1.71827,CANCELLED
ADR,2013-09-15 16:28:10,14.50981,121.010752,14.787072,120.882397,Metro Manila,701.875,1.88273,COMPLETED
IOS,2013-12-19 9:00:26,14.5721,121.07106999999999,14.55809,121.01736000000001,Metro Manila,260.0,2.16908,COMPLETED
IOS,2013-09-25 0:49:24,14.5508,120.98705,14.56071,121.01748,Metro Manila,190.0,3.16837,COMPLETED
IOS,2013-09-19 7:25:44,14.55589,121.0052,14.60254,120.98687,Metro Manila,220.625,1.29826,CANCELLED
ADR,2013-09-13 19:38:49,14.558117000000001,121.016979,14.436506,120.960384,Metro Manila,408.75,0.971561,COMPLETED
IOS,2013-08-31 15:28:11,14.546439999999999,121.0619,14.583210000000001,121.0568,Metro Manila,238.125,0.419137,CANCELLED
ADR,2013-10-02 7:48:23,14.575073999999999,121.044081,14.557645,121.018771,Metro Manila,216.25,2.52691,CANCELLED
VNU,2013-12-09 21:38:05,14.549732,121.02677,14.554729,121.024445,Metro Manila,150.625,0.21178000000000002,COMPLETED
ADR,2013-10-02 23:50:41,14.59591,121.058677,14.586257000000002,121.044265,Metro Manila,190.0,1.19535,CANCELLED
IOS,2013-10-02 22:31:12,14.648179999999998,121.02763999999999,14.585529999999999,121.03781000000001,Metro Manila,343.125,1.3007799999999998,COMPLETED
IOS,2013-12-26 9:24:25,14.571879999999998,121.00278999999999,14.523129999999998,121.00093000000001,Metro Manila,295.0,1.0373,COMPLETED
ADR,2013-09-13 0:10:54,14.634979999999999,121.06499,14.676041,121.0437,Metro Manila,268.75,2.6713,CANCELLED
IOS,2013-10-04 7:45:54,14.57836,121.04758000000001,14.556329999999999,121.02123999999999,Metro Manila,220.625,1.85412,COMPLETED
ADR,2013-09-25 19:56:00,14.549732,121.02677,14.45,120.95,Metro Manila,382.5,0.6357109999999999,COMPLETED
IOS,2013-10-03 19:20:24,14.55456,121.02388,14.54955,121.05608000000001,Metro Manila,229.375,2.0329900000000003,COMPLETED
IOS,2013-10-07 7:57:17,14.547889999999999,121.02133,14.567089999999999,121.01342,Metro Manila,172.5,1.62575,COMPLETED
IOS,2013-09-19 7:43:53,14.669479999999998,121.10835,14.56921,121.06016000000001,Metro Manila,316.875,0.637416,COMPLETED
IOS,2013-10-06 21:24:22,14.59925,121.10824,14.63821,121.12268999999999,Metro Manila,242.5,3.25674,CANCELLED
IOS,2013-10-01 17:04:23,14.648610000000001,121.07167,14.66565,121.08223999999998,Metro Manila,190.0,3.2945,CANCELLED
ADR,2013-09-07 19:31:18,14.576274,121.07005600000001,14.585811999999999,121.060171,Metro Manila,176.875,1.52867,COMPLETED
IOS,2013-11-22 20:16:26,14.55809,121.01736000000001,14.56529,121.02807,Metro Manila,181.25,0.8973709999999999,COMPLETED
IOS,2013-09-24 12:31:04,14.61605,121.05326000000001,14.5867,121.06216,Metro Manila,190.0,0.31255900000000003,COMPLETED
ADR,2013-10-07 18:09:39,14.560801999999999,121.01641299999999,14.629133,121.066349,Metro Manila,325.625,1.41669,CANCELLED
IOS,2013-11-28 0:09:28,14.5282,121.0421,14.65749,121.05611999999999,Metro Manila,443.75,1.12747,COMPLETED
IOS,2013-09-29 4:53:28,14.60886,121.08001000000002,14.46812,120.98096000000001,Metro Manila,491.875,2.27394,COMPLETED
IOS,2013-09-24 9:47:23,14.610029999999998,121.09177,14.60769,121.0786,Metro Manila,176.875,1.1413799999999998,COMPLETED
IOS,2013-09-28 18:24:37,14.55132,121.02541000000001,14.56623,121.01024,Metro Manila,233.75,0.485066,COMPLETED
VNU,2013-11-25 20:50:13,14.549732,121.02677,14.553065,121.024445,Metro Manila,155.0,0.33231,COMPLETED
VNU,2013-10-23 14:14:08,14.549732,121.02677,14.537751,121.001379,Metro Manila,185.625,0.668469,CANCELLED
IOS,2013-11-04 8:22:04,14.5761,121.03046,14.55851,121.01916000000001,Metro Manila,190.0,0.7085140000000001,CANCELLED
IOS,2013-10-24 9:38:13,14.54309,121.01326999999999,14.55921,121.0176,Metro Manila,211.875,0.21461999999999998,COMPLETED
IOS,2013-10-10 8:43:47,14.57216,121.02972,14.57956,121.04538000000001,Metro Manila,172.5,1.86047,COMPLETED
ADR,2013-10-12 0:00:02,14.582395000000002,121.062987,14.625309,120.969724,Metro Manila,435.0,0.5637220000000001,COMPLETED
ADR,2013-09-26 5:26:15,14.555015,121.01742800000001,14.50549,121.004878,Metro Manila,277.5,0.54084,COMPLETED
IOS,2013-09-29 18:33:01,14.61104,120.9802,14.608329999999999,120.99101999999999,Metro Manila,168.125,2.21018,CANCELLED
IOS,2013-09-05 11:38:51,14.64275,121.05762,14.552610000000001,121.02542,Metro Manila,343.125,1.06667,COMPLETED
IOS,2013-12-20 20:16:34,14.53635,120.98495,14.4903,121.02108,Metro Manila,233.75,0.584112,COMPLETED
IOS,2013-09-20 19:02:31,14.49346,121.04292,14.54999,121.04818,Metro Manila,273.125,1.1748399999999999,COMPLETED
ADR,2013-10-01 18:54:35,14.465720999999998,121.043702,14.552889000000002,121.04708899999999,Metro Manila,338.75,3.8083099999999996,CANCELLED
